Key,English
_Dummy_SelfNoteForThisFileHelpInfoUnusedInGameKEEPONTOP,"!!!ATTENTION!!!! To continue readable, notes must have at most 12 displayed lines. it also means that each line must have at most 60 characters. So a total of +-720 chars w/o NewLine chars or a total of 12 lines with NewLine chars. Edit NotesTips.AddedToRelease.txt carefully and run createNotesTips.sh in cygwin/linux, will be much easier!"

___OVEHIDE_FROM_VANILA_BEGIN,""
_trader_bob,"Mr. Bob"
_trader_hugh,"Mr. Hugh"
_trader_jen,"Ms. Jen 'Doc'"
_trader_joel,"Mr. Joel"
_trader_rekt,"Mr. Rekt"
buffNewbieCoatDesc,"The newbie coat is just a few seconds now."
buffHealWaterMaxDesc,"If you drink more water than is required to fill up your water bar than 20% above your max water stat will dissipate more slowly. But above that can be lethal!\n OverhydratedNearDeathLvl: {cvar(iGSKNearDeathOverhydrated:0.0)}\n ConsumingExtraWater: {cvar($waterAmountAdd:0.00)}/{cvar($waterOverEatAmount:0)}\n HPBlockage:{cvar(fGSKOverhydratedHPBlockage:0)}\n Obs.: Consuming beyond the limit causes problems (15 per NearDeathLvl)"
drinkJarBoiledWaterDesc,"Fresh bottled water. Well as fresh as you can get in the apocalypse.\nYou will need it in the desert to combat dry weather and nose bleeding.\nDo not drink too much water tho, it may be dangerous!\n[SECONDARY] action will let you take a simple bath and clean miasma, very useful mainly in the Pine Forest."
buffRadiation03Desc,"Read details in the Hazards/CosmicRayBeams journal info."
buffRadiation03Name,"Deadly Cosmic Radiation"
buffRadiation03Tooltip,"A deadly Cosmic Radiation Beam strikes you!"
quest_WhiteRiverCitizen,"Someone that may help.."
quest_WhiteRiverCitizen1,"Someone that may help.."
quest_WhiteRiverCitizen1_subtitle,"Someone that may help.."
quest_WhiteRiverCitizen1_description_title,"Someone that may help.."
quest_WhiteRiverCitizen1_description,"So.. living there then.. mmm..\nlet's see if going there can help me..\nbut certainly not before I prove myself useful.."
gunPartsGroupDesc,"Scrap advanced armor, tools and weapons to acquire these items. Use them to craft new items.\nThey are also the only way to repair a bit of related guns."
resourceSnowBallDesc,"You know what to do! Turn it into first rate drinking water over a campfire, of course.\nYou can also consume it right now if you are overheating, but it may be dangerous."
resourceRepairKitDesc,"Repair Kits are used to repair all held and worn items, vehicles, and more.\nBut you need to prepare gun parts with them to repair guns."
resourceAnimalFatDesc,"Animal fat can be eaten raw or used in cooking or other crafting recipes.\n Your current Fat:{cvar(fGSKFatStaminaBlockage:0.00)} FatStaminaBlockage:{cvar(.fGSKFatStaminaBlockageLimited:0.00)}, this extra body fat can help you against starvation and prevent knockdowns."
armorClothGroupDesc,"Light armor will encumber you a little and provides some protection against damage.\nIt will protect you a bit from the cold.\n\nRepair with cloth.\nScrap to cloth."
armorHeavyGroupDesc,"Heavy armor will encumber you but provides good protection against damage.\nIt will not protect you from the weather, and will make you more cold in the winter.\n\nRepair with forged iron or steel.\nScrap to Iron."
xuiStashLockedSlots,"Lock the first N slots from being moved or sorted with the buttons. [TNM] Set CfgHintLockInv outline at Config/XUi/windows.xml"
___OVEHIDE_FROM_VANILA_END,""

dkGSKCallSoldier,"Call a soldier, but you need to first help defeating nearby enemies."
dkGSKCallFriends,"Call some friends, but they were in a party when things went wrong.."
dkGSKCallTrustyDog,"A trusty dog always return to home, but it is fleeing and you need to save it."
dkGSKCallHalowenParty,"Call some friends, but they are in a halloween party and it may be scary."

dkGSKPOIProgressInc,"This is a exploration reward, the more you explore the more you get this. It is limited by the total existing POIs. Be careful while collecting them."

dkRepairNPCArmor,"You need to have only one NPC following you to use this. It will repair a bit of the NPC armor after the NPC receives the next hit. There is permanent NPC armor tho that cannot be fixed, so if it is too high it is better to hire a new one."

dkbuffGSKMutantEssence,"This will protect you from cosmic rays and external force teleportations, and improve you (if you are also using other essences) for a short time.\nStacking the effect (to add time while it is still active) will also heal your DNA a bit.\nCosmicRadiationMessDNA:{cvar(fGSKCosmicRadMessDNA:0.00)} RadiationMessDNA:{cvar(fGSKRadiationMessDNA:0.00)} MutatingDNA:{cvar(iGSKEssenceMutant:0.00)}"

dkGSKgunRepairParts,"These are specific cleaning, repair parts, and tools for each gun. When a gun part is used to create this, think as a gun part that is being replaced."

