Key,English

_Dummy_SelfNoteForThisFileHelpInfoUnusedInGameKEEPONTOP,"!!!ATTENTION!!!! To continue readable, notes (with vanilla windows.xml) must have at most 12 displayed lines. it also means that each line must have at most 60 characters. So a total of +-720 chars w/o NewLine chars or a total of 12 lines with NewLine chars. Edit NotesTips.AddedToRelease.txt carefully and run createNotesTips.sh in cygwin/linux, will be much easier!"

_Dummy_SelfNoteNewLinesTip,"do a regex replace for \\n to \\n\n, edit the text you want easily then revert with \\n\n to \\n, use multi-line matching in geany"

_Dummy_SelfNoteSPLITTING,"stuff from here could still go to mini mods"

___OVEHIDE_FROM_VANILA_BEGIN,""
_trader_bob,"Mr. Bob"
_trader_hugh,"Mr. Hugh"
_trader_jen,"Ms. Jen 'Doc'"
_trader_joel,"Mr. Joel"
_trader_rekt,"Mr. Rekt"
modMeleeFortifyingGripDesc,"When health is below 50% gain 1 hit point every 5 seconds. But if you attack before healed to 50%, this will increase your radiation level a bit."
bucketEmptyDesc,"An empty bucket can be used to fill up and transport water.\n Obs.: But can only be used in existing world water. Water placed by the player can only be collected using specific empty jars crafted from normal empty jars. The reason is to prevent the player using the create infinite water glitch."
buffNewbieCoatDesc,"The newbie coat is just a few seconds now."
buffHealWaterMaxDesc,"If you drink more water than is required to fill up your water bar than 20% above your max water stat will dissipate more slowly. But above that can be lethal!\n OverhydratedNearDeathLvl: {cvar(iGSKNearDeathOverhydrated:0.0)}\n ConsumingExtraWater: {cvar($waterAmountAdd:0.00)}/{cvar($waterOverEatAmount:0)}\n HPBlockage:{cvar(fGSKOverhydratedHPBlockage:0)}\n Obs.: Consuming beyond the limit causes problems (15 per NearDeathLvl)"
buffRadiation03Desc,"Read details in the Hazards/CosmicRayBeams journal info."
buffRadiation03Name,"Deadly Cosmic Radiation"
buffRadiation03Tooltip,"A deadly Cosmic Radiation Beam strikes you!"
quest_WhiteRiverCitizen,"Someone that may help.."
quest_WhiteRiverCitizen1,"Someone that may help.."
quest_WhiteRiverCitizen1_subtitle,"Someone that may help.."
quest_WhiteRiverCitizen1_description_title,"Someone that may help.."
quest_WhiteRiverCitizen1_description,"So.. living there then.. mmm..\nlet's see if going there can help me..\nbut certainly not before I prove myself useful.."
quest_WhiteRiverCitizen1_offer,"So.. living there then.. mmm..\nlet's see if going there can help me..\nbut certainly not before I prove myself useful.."
gunPartsGroupDesc,"Scrap advanced armor, tools and weapons to acquire these items. Use them to craft new items.\nThey are also the only way to repair a bit of related guns."
resourceSnowBallDesc,"You know what to do! Turn it into first rate drinking water over a campfire, of course.\nYou can also consume it right now if you are overheating, but it may be dangerous."
resourceRepairKitDesc,"Repair Kits are used to repair all held and worn items, vehicles, and more.\nBut you need to prepare gun parts with them to repair guns."

armorClothGroupDesc,"Light armor will encumber you a little and provides some protection against damage.\nIt will protect you a bit from the cold.\n\nRepair with cloth.\nScrap to cloth."
armorHeavyGroupDesc,"Heavy armor will encumber you but provides good protection against damage.\nIt will not protect you from the weather, and will make you more cold in the winter.\n\nRepair with forged iron or steel.\nScrap to Iron."
xuiStashLockedSlots,"Lock the first N slots from being moved or sorted with the buttons. [TNM] Set CfgHintLockInv outline at Config/XUi/windows.xml"
EntityLootContainerRegular,"Dropped Loot"
EntityLootContainerStrong,"Good Dropped Loot"
EntityLootContainerBoss,"Very Good Dropped Loot"
EntityLootContainerBandit,"Bandit Dropped Loot"
DroppedLootContainer,"Container Dropped Loot"
drugSteroidsDesc,"Steroids decrease encumbrance, allowing you to carry more items, and allow you to run faster. They also allow you to move and perform actions normally when you have a sprained or broken limb.\n LongTermEffect:{cvar(fGSKSteroidsLongTermEffect:0.0000)}, ExtraFoodAndWaterRequired:{cvar(.fGSKSteroidsLongTermEffectFoodWater:0.00)},\n EncumberedSlots:{cvar(_encumberedslots:0)}, Encumbrance:{cvar(_encumbrance:0.00)},\n Be careful, using too much also demands more food and water."
___OVEHIDE_FROM_VANILA_END,""

dkGSKExperienceDebitLower,"Current ExpLoss: {cvar(.fGSKExpDebtPercx100:0.00)}%/{cvar(.fGSKExpDebtMaxPerc:0.00)}/0.95 ({cvar(fGSKExpDebt:0)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}, -{cvar(.fGSKExpDebtDecPerSec:0.00)}/s), RealTime HoursRemaining ToEnd ExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}, DeathExpDeficit: {cvar(.fGSKExpDefPerDeathPerc:0.00)}/{cvar(.fGSKExpDefMaxPerc:0.00)}\nBeware tho, if you plan on having many NPC followers, each kill they make will add to your exp debt, so creating this item may probably not help you enough."

dkbathKit,"Contains a small soap, one jar of boiled water and a sponge.\nUsing this is like taking a complete good bath in the bathtub. "

dkGSKmedicalBloodBagEmpty,"can't be used while:\n being buffed by cosmic blood moon or\n with a friendly DeusEx nearby or\n in temporary god mode"
dkbuffFortifyingGripDebuffOT,"Fortifying grip ancient modification is powerful but at a cost, it will increase your radiation and even more when you attack while being too much below the healing limit."

dkelectronicsParts,"Use this to create a signal to call a courier with your world exploration reward. They can be dismantled from any electronic device."

dkGSKnoobHelperCreateBundles,"Use the create bundles helper to have access to create free bundles just after you resurrect and is unable to create them for any reason.\nRemember to pay your debt with related item.\nCurrent debt: {cvar(fGSKnoobHelperCreateBundleDebuff:0.00)}/18.\nThis debt also creates a debuff blocking your HP.\nYou can't use too many without paying your debt."

dkDeusExMachina,"Deus Ex Machina purges all zombified organinsms and regenerate themselves from any damage very quickly. They show up from time to time ({cvar(iGSKSpawnDeusExTimeout:0)}s)\n[Friendly:{cvar(iGSKDeusExFriendlySpawnAllowedCountdown:0)}s] Heals you and your followers, if you are near enough, but cost experience debit and prevents preparing safe blood bags. Will follow if you shoot them (to stop them use GSKDeusExMachinaFriendlySlowDown). After some time (or during blood moons) they stop following and helping you. If you die you can wait or use GSKDeusExMachinaFriendlyRespawn to call them (dont wait too long tho). Total help received:{cvar(fGSKDeusExTotalHelp:0)}.\n[Enemy:{cvar(iGSKDeusExFoeSpawnAllowedCountdown:0)}s] You destroyed one of them, now they are hunting you! They will cause unbelievable damage in melee and will fire a burst of rockets. They will only hunt you if you are in good shape and hiding. They will only hunt you if you are well fed (Food>=50), hydrated (Water>=85), healed (HP>=70), somehow sheltered (Sheltered>=0.30), almost no enemies nearby ({cvar(.iGSKNearbyFoeAliveTotal30m:0)}<=3), no neardeath conditions ({cvar(iGSKNearDeath:0.00)}==0.00) and crouched, because they need to know how they got defeated to learn and evolve, or they just like a challenge, who knows... They won't heal anyone until the hunt ends (when DeusExWinsAtCount:{cvar(iGSKDeusExWinsAtCount:0)} equals to DeusExKillCount:{cvar(iGSKDeusExKillCount:0)}). DeusExRewardOpenCount:{cvar(iGSKDeusExRewardOpenCount:0)} (you need to craft a GSKspawnDeusExReward). 3DPrintingSmallRobots({cvar(.iGSKDeusExSpawnSmallEnemiesTotal:0)})ETA:{cvar(.iGSKDeusExSpawnSmallEnemiesCountDown:0)}*3s"

dkGSKDeusExMachinaFoeAllowSpawnOnce,"This will not check if player is in well condition to spawn one DeusExMachina foe once.\nPRIMARY enable\nSECONDARY disable\n.iGSKDeusExAllowSpawnFoeOnce: {cvar(.iGSKDeusExAllowSpawnFoeOnce:0)}"

dkGSKmeltSnowBall,"Let snowballs melt with ambient temperature (least in snow biome), faster in the desert and at day time.\nAmbientMeltingDeniedFor: {cvar(iGSKDenyMeltSnowBall:0)}s"

dkGSKDeusExMachinaFriendlyRespawn,"Use this if DeusExMachina is stuck somewhere or not following you as it should be. Or it have not spawned yet after you join when it should be there (it will show up after some time anyways in this case tho).\nObs.: You must also not be sheltered and not on blood moon."

dkGSKRadiationInfo," Try to get a full hazmat suit, once you have it, keep it 100% repaired, as minor holes may suffice to drastically lower the radiation resistance.\n The strong anti-rad is 10x more efficient than the ones you harvest, and require less water in your body.\n The slow anti-rad is requires even less water, but is only 6x better.\n The rad-resist chem, when use above 600s of remaining res time, will increase the rad-res by 1%.\n The radiation huge number hint will be visible from {cvar(iGSKRadHintFrom:0)}%.\n Current radiation {cvar($buffStatusRadiation:0)}/100."

