Key,English
dkGSKteleportLikeAMutantPower,"Everytime you use this, you will be teleported in front, by a distance based on how much mutated DNA you have:\n MutantDNA:{cvar(iGSKEssenceMutant:0.00)}/7=TeleportDistanceIndex\nObs.: teleporting this way will consume your mutated DNA accordingly.\nEx.: if you have 18; 18/7=2TeleDistIndex(truncFloor), 2*7=14ToConsume, you end up with 4."
dkGSKpowerSummonLikeAVampire,"Summon living hostile animals (that will attack you too):\nYou will need to be in good health and have enough vampire essence (7) to use this.\nPRIMARY Standing: many coyotes\nSECONDARY Standing: some wolves\nPRIMARY Crouching: a few dire wolves\nSECONDARY Crouching: one strong animal\nObs.: this is a blood jutso and will damage you imediately. This will only work if you are not sheltered (ETC*11).\nEssenceVampireDNA: {cvar(iGSKEssenceVampire:0.00)} EssenceVampireDNAPermBonus: {cvar(fGSKEssenceVampirePermBonus:0.00)}\nPS.: You can only summon once a day (wait more {cvar(iGSKSummonAnimalCooldown:0)}s)."
dkGSKpowerImmuneLikeAWight,"Almost immune to damage like a wight.\nUses a lot of wight essence: {cvar(iGSKpowerCostWight:0)}. Can stack.\nObs.: won't work against DeusExMachina tho (you are not a wight, just pretending to be one).\nWon't protect against criticals and other effects.\nEssenceWightDNA:{cvar(iGSKEssenceWight:0.00)} EssenceWightDNAPermBonus: {cvar(fGSKEssenceWightPermBonus:0.00)}\nRemainingTime: {cvar(iGSKpowerWightPlayerTime:0)}s\nConvert HP into Stamina if stamina is too low:\n PRIMARY: inc stamina reference\n SECONDARY: dec stamina reference"
PsyonicsResistanceDesc,"This will block all damage and most harm caused by psyonic attacks:\n fGSKPsyResistDur: {cvar(fGSKPsyResistDur:0)}\n Obs.: important to use before shooting mutant zombies, or they may get really mad.\n PsyonicChemUse:{cvar(iGSKPsyonicChemUseCount:0.00)}, PsyonicPermanentPower(byKillingUsingPsyPowers): {cvar(fGSKPsyonicPermanentPower:0.00)}\n This chem can be used to craft Psyonic Bullets."
dkGSKpsyonicAttackLikeAMutant,"PsyonicPower:{cvar(iGSKPsyonicChemUseCount:0.00)}\n Will kill all nearby mutants 30m but only if you have enough psy power to kill them all.\n If power is more than 40, it will increase the range up to 60m.\n Stronger mutants require more psy power.\n Killing mutants with psyonics adds a small permanent psyonic resistance chance ({cvar(fGSKPsyonicPermanentPower:0.00)}%) against their attacks.\n The sensed count ({cvar(iGSKMutantNearbyCount:0)}) will show at HUD CFGv1.\n The more psy power you have, the farer you can kill mutants."

dkbuffGSKWightEssence,"Every time your stamina drops below {cvar(iGSKEssenceWightMinStam:0)} and your HP is greater than {cvar(iGSKEssenceWightMinHP:0)} this will consume 1HP to recover 10 stamina.\n EssenceWightDNA:{cvar(iGSKEssenceWight:0.00)} EssenceWightDNAPermBonus:{cvar(fGSKEssenceWightPermBonus:0.00)}\n ExtraStaminaPool:{cvar(iGSKstaminaPool:0)}"
dkbuffGSKVampireEssence,"Every time you hit a foe with a melee bladed or piercing weapon (not thrown tho) you will be healed. More from the living tho.\n EssenceVampireDNA:{cvar(iGSKEssenceVampire:0.00)} EssenceVampireDNAPermBonus:{cvar(fGSKEssenceVampirePermBonus:0.00)}\n ExtraHPPool:{cvar(iGSKHitpointsPool:0)}"
dkGSKMonsterEssence,"A strong mix of all monster essences.\nIt has a more pure effect so lasts more than using raw essences.\nBe careful to use it in a safe location.\n Current absorption: {cvar(iGSKMonsterMixJuiceStep:0)}"

dkPsyonicAmmo,"Use monster essences to activate psyonic powers when this projectile hits an organic animated target, otherwise it is almost useless.\n Vampire heals, Wight adds stamina to an endless pool, Mutant teleports to target, Psyonic essence explodes inside the target (better stay far).\n The spear like bone shiv doesnt require using mutant essence to teleport you, and can be used as melee too.\n The teleport bedroll is meant to be used in pairs, place one, be careful, place another far away, step on the previous one.\n The Teleport entity can be summoned and shot to fly away, expectedly in the direction you want to be teleported to, good luck!\n One psyonic bullet will vanish after {cvar(iGSKpsyBulletVanishTimeout:0.00)}s (the more accumulated psy power you have, the longer they last)."
_dkthrownBoneDartGSK,"use monster essences to activate powers when this dart hit an organic animated target. vampire heals, wight adds stamina, mutant teleports to target."
_dkthrownBoneDart2GSK,"granted teleport to target, no need to use more essences, can be used as melee too. works like the other dart too with the other essences."
_dkGSKCallTeleportEntity,"call this entity, shoot it so it will fly away expectedly in the direction you want, wait until it die and teleport you there"
